,section_title,section_text
533,Overview,"By default, when you view tasks in List view and Table view or on a Gantt Chart, an active status filter is applied so that you only see tasks with an “Active” status (or tasks in an active status group if you have Custom Statuses). You can change filters so that you see all tasks in a folder, project, or space, or apply additional filters so that you see only the tasks that match the criteria you select.
Please note, this page is mostly about filtering tasks, but you can filter projects as well."
534,Important Information,"You can apply filters to a folder, project, or space and then create a Dashboard widget that shows data matching those filter selections.
When you apply a set of filters to one folder, project, or space, those filters remain in place as you switch between the List view and the Table view.
All applied filters are listed under a folder, project, or space’s title in the left-hand corner of the Table and List views or Gantt Chart.
From the Table view you can filter not only tasks but projects as well."
535,Available Task Filters,"These filters can be applied to tasks on the List view, Table view, and Gantt Chart.
Filter
Free
Professional
Business and Enterprise
Status
+
+
+
Assignee
+
+
+
Tasks To Do
+
+
+
Task Type
+
+
Completed Date
+
+
Due Date
+
+
Start Date
+
+
Last Modified Date
+
+
Created Date
+
+
Author
+
+
File Approvals*
+
+
Guest Reviews*
+
+
Custom Workflows and Statuses
+
Custom Fields
+
Effort**
+
Approvals***
+
Please note, Professional, Business, and Enterprise users must click the “Add more filters” button on the filter panel to see some filter options not displayed by default.
*Filters related to File Approvals and Guest Reviews are only available in accounts with Wrike Proof.
** Filters related to effort are only available to Wrike for Professional Services accounts and accounts with Wrike Resource and are not available on the Board View.
*** Filters related to Approvals are only available in accounts with the Approvals feature."
536,How to Filter Tasks,"You can filter tasks at the folder, project, or space level.
When you filter tasks, you filter all tasks in the selected folder, project, or space that are shared with you.
Select a folder, project, or space from the left-hand Navigation panel.
Click the settings icon on the panel above the task list and select to show “Tasks from Subfolders” if you want to include tasks from descendant folders/projects (optional).
Click the Filters icon.
Check the box next to each of the filters you would like to apply."
537,Filter Tasks by Assignee,"You can use filters to generate a list of tasks assigned to you, to another user, or to multiple users.
Step 1. Decide which tasks you want to filter.
Select a folder, project, or space from the left-hand Navigation panel. Click the settings icon on the panel above the task list and select to show ""Tasks from Subfolders.""
Step 2. Apply Filters.
Click the Filters icon. 1
Scroll down to the “Assignee” section 2 of the Filters panel.
Check the boxes to the left of each user whose assigned tasks you would like to see.
Step 3. Create a Widget. (Optional)
If this is a list you need to save or look at frequently you can create a Dashboard widget. Dashboard widgets automatically refresh and update so that you always see tasks that meet the applied filters."
538,Filter Presets,"When you filter tasks in the List or Table view you can save a set of applied filters as a preset. To do so:
Select a folder, project, or space from the left-hand Navigation panel and open it in the Table or List view. 1
Click on the Filters icon. 2
Apply more than one filter to the view.
Click on the “Save” button 3 at the top of the Filters panel.
Enter the name for the preset. 4
Click “Save.” 5
The preset is added to the list of system presets. Click on the number of applied filters next to the filters icon to see the list of all presets in your account. Select one preset from the list to apply it.
Additionally, you can rename the preset or delete it:
Open the list of presets. 1
Hover over the preset you want to edit.
Click on the three-dot menu. 2
From here:
Select “Delete” to remove the preset.
Select “Rename” to edit the preset name and click “Save” after you finished."
539,How to Filter Projects,"It is possible to filter projects within one folder, project, or space. To do so:
Open the folder, project, or space from the left-hand navigation panel.
Switch to Table view.
Click the filters icon above the table.
Select “Projects” on the filter panel.
Select the filter(s) you would like to apply.
Filter
Free
Professional
Business and Enterprise
Status
+
+
+
Owner
+
+
+
Start/Finish date
+
+
+
Date of Creation
+
+
Author
+
+
Progress
+
Health
+
Custom Fields
+
The filters you apply to projects can also be saved as presets. Note that these filter presets can only be used in the Table view."
540,Filter Tasks in Activity Streams,"Regular and external users on all subscription types can filter tasks in the Activity Stream.
1. Switch to the Stream view. You can use the Stream view for:
Your account, by selecting the “Stream” tab from the top of the workspace.
A folder, project, or space by selecting it from the left-hand Navigation panel and then switching to the Activity Stream View by clicking “Stream.”
2. Select the filter you would like to apply from the right-hand panel:
Everything: shows all changes and comments on tasks, folders, projects, or spaces shared with you.
Everything I follow: shows the changes and comments on all tasks, folders, and projects which you follow (this is the default for the Activity Stream).
Assigned to me: shows the latest changes and comments on tasks that are assigned to you.
My conversations: shows the changes to and discussions about tasks, folders, and projects that you created, updated, or commented on at least once.
Hide auto updates: when this is selected, the activity stream will only show comments and the history of file attachments.
The filter is applied as soon as you make a selection.
Please note, if you choose to view the Activity Stream for a folder, project or space, you will see updates regarding information that meets the filter criteria you select and that are related to items which live within that folder/project/space."
541,Filter Comment Streams,"Click the filter icon in the upper right-hand corner of a task, folder, or project Stream and select:
""All updates"" to see all changes and comments related to the task, folder, or project.
""Only comments"" to see only comments and the history of file attachments."
542,Remove Filters,"Select a folder, project, or space from the left-hand Navigation panel and open it in the Table view, List view, or Gantt Chart.
Click on the Filters icon.
Applied filters are listed under the “Applied filters” section.
Hover over the filter you want to remove.
Click the “x” that appears to the right of the filter name.
To remove all filters at once click on the “Clear filters” button.
That filter is immediately removed."
543,Overview,"When you delete a Task, Folder, or Project it is moved to the Recycle Bin. After an item is deleted from the Recycle Bin it cannot be restored.
The Recycle Bin is located on the Workspace’s left-hand Navigation panel. Please note, the Recycle Bin only appears if there is at least one deleted item; the Recycle Bin doesn't appear if it is empty."
544,Important Information,"Our page on Deleting Tasks has more information on permanently deleting or restoring tasks from the Recycle Bin.
Our page on Deleting Folders and Projects has more information on permanently deleting or restoring Folders and Projects from the Recycle Bin.
Only account admins can delete data from the Recycle Bin."
545,Empty the Recycle Bin,"Account admins can empty the Recycle Bin.
Right-click on the Recycle Bin on the Workspace’s left-hand Navigation panel.
Select “Erase All”.
Click “Yes” on the pop-up that appears to confirm that you want to delete all data in the Recycle Bin.
All data will be erased from the recycle bin. When you click ""Erase all"", admins delete all data in their own recycle bin as well as any data in the recycle bins of all users in the account (even data that wasn't shared with them)."
546,Overview,"You can favorite a Folder or Project to make it easier to find and access. Favorited Folders and Projects work at the user license level which means that each user chooses which Folders/Projects they want to favorite.
Starred (favorited) Folders and Projects:
Appear in a starred section above the main Folder/Project structure.*
Are sorted alphanumerically within the starred section.
This page is about starring Folders and Projects, you can also star (favorite) tasks."
547,Important Information,"You cannot delete or duplicate a Folder or Project by clicking on it from the starred section. To delete or duplicate starred Folders and Projects: locate them in the main Folder tree, right click, and then select the appropriate option."
548,Star (Favorite) a Folder or Project,"Hover over a Folder or Project in the left-hand Navigation panel.
Click the star icon that appears to the right of the Folder or Project’s name.
To remove a star from a Folder or Project: hover over the Folder or Project’s name in the left-hand Navigation panel and click the star icon that appears."
549,Overview,"Tasks, folders, and projects in Wrike live either within another folder, project or Space, or directly in the “Shared with me” section. You can change where tasks, folders, and projects live by moving them from one location to another."
550,Important Information,"When you move a Wrike item to a different folder, project or Space, it is automatically shared with all users who have access to that folder, project, or Space it was moved to.
When you move Wrike items to the “Shared with me” section they retain their current share settings; they will not be shared with everyone in your account.
To include tasks, folders, and projects in multiple locations (rather than move them from one location to another) please read our page on tagging.
When you move a task, folder or project any of its subtasks, subfolders, and subprojects are automatically moved as well."
551,Move a Task,"From the left-hand Navigation panel, select a folder, project, or Space.
Switch to the List View.
Select the task which you want to move to another location (do not let go of the mouse button after you click).
Drag the task to the left-hand Navigation panel and drop it over the folder, project, or Space you want to include it in."
552,Move a Folder or Project,"Select a folder or project from the left-hand Navigation panel.
Drag the folder or project so that it’s over the name of the location where you would like to move it.
Let go of your mouse when the folder or project is over the appropriate item in the relevant Space.
Your folder or project is now a subfolder or subproject of the selected folder or project, or it is moved to the selected Space.
To make a subfolder/subproject a top level folder/project, its tag should be removed. Please read our page on tagging."
553,Overview,"Each task in Wrike has a unique numeric identifier, a Task ID, which can also be used as a job number. Job numbers are extremely versatile and can be used to easily reference tasks and can serve as:
Ticket numbers for support requests
Candidate codes for applicant tracking
Equipment codes to monitor the location and usage of various assets
To ensure that each task in the account has a unique identifier, job numbers are automatically assigned and cannot be edited.
Job numbers are visible from the Table View, and can be used in the Search field. "
554,Enable Job Numbers,"Select a Folder or Project from the left-hand Navigation panel.
Switch to the Table View. 1
Click on the gear icon 2 in the top left corner.
Check the box next to “ID”. 3
When you turn job numbers on for a Folder or Project, they are automatically visible on all tasks, subtasks, and subfolders within the Folder or Project. Repeat the process for any additional Folders/Projects that need job numbers.
Once job numbers are enabled you can include them when you export your tasks toExcel. To do this, select the Folder or Project which you would like to export, go to the Table View and click the ""Export"" button 1 to export the data that is currently displayed on the view to an Excel document."
555,View Job Numbers,"When job numbers are switched on, you can see them from the Table Views. Job numbers as seen from the Table View.
You can also find a task's job number on its permalink (the direct link to a specific task). A job number is the numeric portion of a task’s link and it comes at the end of the link after the “id=” 1."
556,Search by Job Number,"You can use job numbers (task IDs) to quickly find tasks in Wrike. To do this, type the task's ID number in the search box.
You can also go directly to a task's page by typing “https://www.wrike.com/open.htm?id=” into your address bar and including the task's ID at the end of the link. "
557,Overview,"Archives are a great place to store Tasks, Folders, and Projects which you no longer need easy access to, but which you cannot or do not want to delete. Individuals can create personal archive Folders or you can create a company archive Folder."
558,Create an Archive,"Create a Folder in your root account and name it “Archive”.
Add Subfolders to your archive folder if you want to further organize your archive.
When a Task, Folder, or Project needs to be archived you can simply move that item to the archive Folder. If you ever need to take data out of the archive, you can drag and drop it out of the archive and into the appropriate location."
559,Filter (Search) Folders and Projects,"Click the filter box 1 located in the Workspace's upper left-hand corner.
Begin typing the name of the folder or project you're searching for.
Click on the appropriate folder or project when it appears in the left-hand navigation panel.
By default, all projects are visible in the left-hand navigation panel, but you can filter out completed and canceled projects:
Click the filter icon in the left-hand navigation panel's upper left-hand corner.
To hide/show completed projects: click to the left of ""Show completed projects"".
To hide/show canceled projects: click to the left of ""Show canceled projects"".
Once you hide completed and/or canceled projects from the left-hand navigation panel:
The projects and all their subprojects and subfolders are no longer visible on the left-hand navigation panel.
The filter icon turns white to indicate that filters are applied."
560,By Title,"Click the filter box 1 located in the Workspace's upper left-hand corner.
Begin typing the name of the folder or project you're searching for.
Click on the appropriate folder or project when it appears in the left-hand navigation panel."
561,By Status,"By default, all projects are visible in the left-hand navigation panel, but you can filter out completed and canceled projects:
Click the filter icon in the left-hand navigation panel's upper left-hand corner.
To hide/show completed projects: click to the left of ""Show completed projects"".
To hide/show canceled projects: click to the left of ""Show canceled projects"".
Once you hide completed and/or canceled projects from the left-hand navigation panel:
The projects and all their subprojects and subfolders are no longer visible on the left-hand navigation panel.
The filter icon turns white to indicate that filters are applied."
562,Recent Tasks,"Recent tasks shows the 10 tasks you’ve most recently opened. To see your most recently viewed tasks: click in the search box 1 in the Workspace's upper right-hand corner.
To see more tasks, click ""More recent tasks"". 2 You'll see tasks grouped into the following categories based on the date you viewed them: today, yesterday, this week, last week, this month, last month, older."
563,Overview,"Tasks, Folders, Projects and Spaces are the main building blocks in Wrike and you use them to keep track of and organize your work. Below you'll find a description of each item and some best practices around when to use them.
For tips on how to organize your Folder tree, check out our Create a Folder Structure page.[OLD]Step 3: Team Onboarding and Collaboration"
564,Tasks,"Think of tasks as similar to items on a to-do list: they keep track of action items that need to be completed. To keep things organized, you can add tasks to Folders, Projects or Spaces. In addition to being a way to keep track of work that needs to be done, tasks have powerful attributes which help you get your work done:
Collaborate with your teammates using the live editor.
Communicate with your teammates through comments.
Assign tasks to team members to create a sense of ownership.
View project progress as your team members mark tasks complete.
Add start and end dates, and switch to the Gantt Chart, to plan a project's schedule or to see how a project is progressing.
Use tasks when you need to:
Plan all the necessary steps to complete a project.
Visualize individual steps on a Gantt Chart.
Store detailed information about processes, how-tos, or notes."
565,When to Use Tasks,"Use tasks when you need to:
Plan all the necessary steps to complete a project.
Visualize individual steps on a Gantt Chart.
Store detailed information about processes, how-tos, or notes."
566,Folders,"Folders are for containing and organizing data. Add tasks to Folders to keep related information in one place or build out your Workspace’s organizational structure and make it easy to find and share information. Unlike Tasks and Projects, Folders are not actionable items and they do not have their own set of attributes.
Use Folders to:
Organize your Folder tree in the Workspace’s left-hand Navigation panel. Create a structure which makes it easy to find and save information.
Group together related tasks such as: meeting agendas, notes, to-do items, issues or risks, or adhoc requests.
Add tags to tasks. This allows you to keep one task in multiple Folders and makes it easier for teams to find information and understand how things fit within the structure."
567,When to Use Folders,"Use Folders to:
Organize your Folder tree in the Workspace’s left-hand Navigation panel. Create a structure which makes it easy to find and save information.
Group together related tasks such as: meeting agendas, notes, to-do items, issues or risks, or adhoc requests.
Add tags to tasks. This allows you to keep one task in multiple Folders and makes it easier for teams to find information and understand how things fit within the structure."
568,Projects,"Projects help contain and organize tasks (similar to Folders) but Projects also have attributes which help with reporting and tracking project progress. Project attributes include:
Status
Start and Finish Dates
Owner
Use Projects when you need to:
Report on project information using Wrike Reports. Project reports help you get a high-level overview of how things are progressing.
Add start or finish dates to the Project itself vs. just to individual tasks.
Run a key initiative and you want to track the project status."
569,When to Use Projects,"Use Projects when you need to:
Report on project information using Wrike Reports. Project reports help you get a high-level overview of how things are progressing.
Add start or finish dates to the Project itself vs. just to individual tasks.
Run a key initiative and you want to track the project status."
570,Spaces,"Spaces help to organize folders and projects in your Wrike account.[OLD]Spaces Overview
Each Space within a Wrike account can have a different set of admins.[OLD]Spaces Overview
Use Spaces to:
Organize your Wrike hierarchy according to your company structure. You can create a public or private Space for each department.
Save external and internal links as Bookmarks for every Space member to use.[OLD]Bookmarks
Organize and manage your own work in the Personal Space.[OLD]Personal Space"
571,When to Use Spaces,"Use Spaces to:
Organize your Wrike hierarchy according to your company structure. You can create a public or private Space for each department.
Save external and internal links as Bookmarks for every Space member to use.[OLD]Bookmarks
Organize and manage your own work in the Personal Space.[OLD]Personal Space"
572,Overview,"Wrike for Professional Services (WfPS) is perfect for teams in services-based companies who look for ways to automate recurring work, efficiently collaborate with clients, streamline project management, and improve resource allocation. You can also upgrade your already-powerful Wrike for Professional Services package to the WfPS Performance package.
WfPS Performance adds on advanced analytics and leverages automation by integrating your Wrike account with financial solutions and CRMs."
573,Wrike for Professional Services Basic Features,"Wrike for Professional Services is available as both a Business and Enterprise solution, depending on the subscription that you purchase. With Wrike for Professional Services, you get access to Wrike’s advanced project management functionality along with features tailored specifically for teams who provide services to their clients.
Step 1. Check your project progress in real time. Wrike automatically calculates the progress of your projects and color-codes it, so you can easily get an overview of all your ongoing projects and make necessary adjustments.
Step 2. Track metrics and KPIs by setting up calculated custom fields. Color-code the calculation results to get a quick overview of metrics on the Table view as well as to see which of the projects go as planned and which might require your attention.
Step 3. Enable custom fields rollup to automatically update the project's data by sourcing it from the tasks within the project.
Step 4. Use the interactive Gantt chart to see the project timeline. Check task dependencies to spot any issues with scheduling.
Step 5. Set up billable hours tracking in one click. You can define which of your projects and tasks are billable and which are not with one simple setting. In Timelog view, group and filter completed work based on billability to provide transparency to your team members and efficiently invoice your clients.
Step 1. Give your team members the ability to conveniently track their working time with timesheets. Users can add time entries, at any time on any device, to all tasks that they’re working on. And Wrike will automatically mark each entry as billable or non-billable depending on your project settings.
Step 2. Review team members’ timesheets. You can get insight into each person’s work for a given week. When you’re ready to export timesheets, lock time entries in Timelog view to prevent them from being edited.  Step 3. Available in WfPS Performance. Locked time entries are automatically marked as “Ready for Export,” and you can export this data from Wrike to the integrated financial solution of your choice.
Step 1. Start by specifying the effort required for performing each of the tasks in your projects.
Step 2. Then create a workload chart to see the team members’ workload for different projects on a timeline. Check which of your team members are overloaded with work in a given day or week, and redistribute tasks among them to avoid unnecessary overtime and keep your projects on track.
Step 3. Improve your resource allocation process with job roles. Сreate custom job roles, like “designer” or “developer,” and assign them to your team members. This way, you can group your resources and staff your future projects by assigning tasks to job roles instead of team members.
Step 4. Share workload charts with relevant stakeholders and decide if they can edit the chart or just view it.
Step 1. Automate your intake of your customers' and employees' requests with Wrike’s dynamic request forms. Set up your request forms to create tasks and projects depending on the answers given by the person who submits the form.
Step 2.Embed request forms into your website pages by just copying the code from the form’s settings.
Monitor resource utilization with the Team Utilization report. Use this pre-built Wrike analytics report and share it with other team members as well as people outside of your Wrike account."
574,Project Portfolio Management,"Step 1. Check your project progress in real time. Wrike automatically calculates the progress of your projects and color-codes it, so you can easily get an overview of all your ongoing projects and make necessary adjustments.
Step 2. Track metrics and KPIs by setting up calculated custom fields. Color-code the calculation results to get a quick overview of metrics on the Table view as well as to see which of the projects go as planned and which might require your attention.
Step 3. Enable custom fields rollup to automatically update the project's data by sourcing it from the tasks within the project.
Step 4. Use the interactive Gantt chart to see the project timeline. Check task dependencies to spot any issues with scheduling.
Step 5. Set up billable hours tracking in one click. You can define which of your projects and tasks are billable and which are not with one simple setting. In Timelog view, group and filter completed work based on billability to provide transparency to your team members and efficiently invoice your clients."
575,Time Tracking,"Step 1. Give your team members the ability to conveniently track their working time with timesheets. Users can add time entries, at any time on any device, to all tasks that they’re working on. And Wrike will automatically mark each entry as billable or non-billable depending on your project settings.
Step 2. Review team members’ timesheets. You can get insight into each person’s work for a given week. When you’re ready to export timesheets, lock time entries in Timelog view to prevent them from being edited.  Step 3. Available in WfPS Performance. Locked time entries are automatically marked as “Ready for Export,” and you can export this data from Wrike to the integrated financial solution of your choice."
576,Resource Management,"Step 1. Start by specifying the effort required for performing each of the tasks in your projects.
Step 2. Then create a workload chart to see the team members’ workload for different projects on a timeline. Check which of your team members are overloaded with work in a given day or week, and redistribute tasks among them to avoid unnecessary overtime and keep your projects on track.
Step 3. Improve your resource allocation process with job roles. Сreate custom job roles, like “designer” or “developer,” and assign them to your team members. This way, you can group your resources and staff your future projects by assigning tasks to job roles instead of team members.
Step 4. Share workload charts with relevant stakeholders and decide if they can edit the chart or just view it."
577,Intake Automation,"Step 1. Automate your intake of your customers' and employees' requests with Wrike’s dynamic request forms. Set up your request forms to create tasks and projects depending on the answers given by the person who submits the form.
Step 2.Embed request forms into your website pages by just copying the code from the form’s settings."
578,Reporting,Monitor resource utilization with the Team Utilization report. Use this pre-built Wrike analytics report and share it with other team members as well as people outside of your Wrike account.
579,Wrike for Professional Services Performance,"WfPS Performance package is available for accounts with basic WfPS package.
WfPS Performance includes all the features of the basic WfPS package described above along with two add-ons: Wrike Analyze and Wrike Integrate.
Wrike Analyze is a fully customizable solution that allows you to create analytical dashboards based on data from your entire Wrike account. You can use any of the pre-built analytics templates or build a custom analytics board to focus on your industry-specific metrics. Get a bird’s-eye view of your running projects, analyze your completed work, and easily share the interactive summary with stakeholders.
Wrike Analyze for WfPS Performance provides a pre-built team utilization dashboard template.
You can review the overall resource utilization in your team, compare planned and actual time spent on tasks, and measure billable and non-billable utilization. Use that knowledge to effectively reallocate effort among your team members and focus on revenue-generating activities.
Wrike Integrate is a no-coding tool created to help you seamlessly integrate your Wrike account with more than 400 apps, solutions, and platforms. With this add-on, you can streamline your work processes and automate your company workflows by eliminating manual input for recurring tasks and projects. Use Wrike’s extensive app directory to set up an integration or create a custom one.
As a part of the WfPS Performance package, Wrike Integrate contains pre-built integration recipes for some of the most popular financial systems and CRM platforms out there: QuickBooks, NetSuite, and Salesforce. Use these quick integrations to free up more resources within your company by automating handover between sales, delivery, and billing:
Once the opportunity is marked as “won” in your CRM, the project is automatically kicked off in Wrike and your financial system.
When the billing period is finished in Wrike, the data is synchronized with the financial system, and you can quickly generate invoices based on this data.
Plan project margins by calculating costs and gross margins based on effort and rate."
580,Wrike Analyze,"Wrike Analyze is a fully customizable solution that allows you to create analytical dashboards based on data from your entire Wrike account. You can use any of the pre-built analytics templates or build a custom analytics board to focus on your industry-specific metrics. Get a bird’s-eye view of your running projects, analyze your completed work, and easily share the interactive summary with stakeholders.
Wrike Analyze for WfPS Performance provides a pre-built team utilization dashboard template.
You can review the overall resource utilization in your team, compare planned and actual time spent on tasks, and measure billable and non-billable utilization. Use that knowledge to effectively reallocate effort among your team members and focus on revenue-generating activities."
581,Wrike Integrate,"Wrike Integrate is a no-coding tool created to help you seamlessly integrate your Wrike account with more than 400 apps, solutions, and platforms. With this add-on, you can streamline your work processes and automate your company workflows by eliminating manual input for recurring tasks and projects. Use Wrike’s extensive app directory to set up an integration or create a custom one.
As a part of the WfPS Performance package, Wrike Integrate contains pre-built integration recipes for some of the most popular financial systems and CRM platforms out there: QuickBooks, NetSuite, and Salesforce. Use these quick integrations to free up more resources within your company by automating handover between sales, delivery, and billing:
Once the opportunity is marked as “won” in your CRM, the project is automatically kicked off in Wrike and your financial system.
When the billing period is finished in Wrike, the data is synchronized with the financial system, and you can quickly generate invoices based on this data.
Plan project margins by calculating costs and gross margins based on effort and rate."
582,Overview,"Wrike for Marketers is ideal for marketing teams looking to streamline their workflows and keep better track of their work. With Wrike for Marketers, users:
get access to Wrike’s advanced features,
gain functionality specifically designed for marketing teams
have more ways to receive, track, and report on their work
get access to approval workflow
More in-depth information regarding our marketing solution is availablehere."
583,How Wrike Works with a Marketing Workflow,"We talked to marketing teams, learned the key processes teams go through as they do their work, and then built functionality to help you get more done.
Ideate and Plan- use requests, tasks and projects to streamline your intake process, organize incoming work, and create an actionable timeline.
Create and Perfect- work right from Photoshop and Illustrator and use Wrike’s Adobe add-in to access and update work from Wrike.
Review and Approve- use Wrike Proof to compare files and versions, add comments directly to file attachments, then begin the Approval process to get final confirmation that tasks and materials are ready to use.
Launch and Report- complete your project and run reports to see: where work is coming from, how much work was completed, and who is doing what."
584,Features,"Userequeststo simplify your intake workflow, add structure to the request system, ensure that requests are added to the appropriate location, and decrease the chances that requests are lost.
Use Wrike’s extension for Adobe® Creative Cloud® to work in Photoshop or Illustrator and: access Wrike tasks from Adobe, link images between Adobe and Wrike, and keep track of versioning.
Proofing allows you and your team to add comments directly to images, videos, .PDFs, Office files, and weblinks stored in Wrike. Use Proofing to discuss proposed files, get feedback from the rest of your team, compare files and file versions and keep track of what changes need to be made. Proofing helps you establish a structured review process. With Wrike Proof, you can assign teammates and external stakeholders as reviewers, see who has approved a file, or see who has marked any changes required.
Approvals help you establish a structured review process and automate the process of decision making. With Approvals you can assign teammates as approvers for tasks, folders and projects, and files within them. Additionally you can assign external stakeholders as file reviewers. The Approvals process is transparent: you can see who has approved a file, who has decided that changes are required and why.
With Wrike Publish you can manage your digital assets without having to leave Wrike. Upload and download files to and from your DAM solution and discuss and approve your assets using Wrike Proof. Wrike Publish works both with MediaValet and Bynder.
UseWrike Reportsto create customizable reports and gain insights about the work your team has completed. The Report Builder helps you quickly create a new report based on the data that matters to your team. Reopen saved reports at any time to have them update with the most up-to-date data.
The marketing solution also includes all the features available on either the Business or Enterprise solution.
Wrike for Marketers Performance
WfM Performance package is available for accounts with basic WfM package.
WfM Performance includes all the features of the basic WfM package described above along with two add-ons: Wrike Analyze and Wrike Integrate.
Wrike Analyze is a fully customizable solution that allows you to create analytical dashboards based on data from your entire Wrike account. You can use any of the pre-built analytics templates or build a custom analytics board to focus on your industry-specific metrics. Get a bird’s-eye view of your running projects, analyze your completed work, and easily share the interactive summary with stakeholders.
WfM Performance includes two 5 pre-built dashboard templates in Wrike Analyze, including Agile Velocity and Sprint Review templates, which provide information on your team’s work and capacity during sprints. A pre-built dashboard showing revenue and risk assessments is a result of seamless integration between Wrike and the company’s Salesforce stack, pulling sales-related KPIs directly into custom fields to give high-level data on the performance of every campaign and making campaign managers more effective.
Wrike Integrate is a no-coding tool created to help you seamlessly integrate your Wrike account with more than 400 apps, solutions, and platforms. With this add-on, you can streamline your work processes and automate your company workflows by eliminating manual input for recurring tasks and projects. Use Wrike’s extensive app directory to set up an integration or create a custom one.
As a part of the WfM Performance package, Wrike Integrate contains pre-built integration recipes for some of the most popular marketing systems and CRM platforms out there: Workato, Salesforce, etc. You can automate your work within Wrike with the help of recipes. This one, for example, creates a new sprint project each time the current sprint project is completed and moves all uncompleted tasks to the backlog.
Combining Wrike Analyze and Wrike Integrate powers Wrike for Marketers Performance and offers you an easy way to manage your campaigns.
In WfM Performance you can:
Set up an email campaign with three apps simultaneously. As soon as you finish all the preparation in Wrike, the campaign is created in Salesforce and approved files are moved from Wrike task to Marketo for further use.
Synchronize data from email templates between Wrike and Marketo.
Update data both in Salesforce and Wrike simultaneously (in just a couple of clicks) and track KPIs from Salesforce in Wrike’s Table view.
Track revenue using Wrike Analyze dashboards."
585,Requests,"Userequeststo simplify your intake workflow, add structure to the request system, ensure that requests are added to the appropriate location, and decrease the chances that requests are lost."
586,Wrike’s Extension for Adobe® Creative Cloud®,"Use Wrike’s extension for Adobe® Creative Cloud® to work in Photoshop or Illustrator and: access Wrike tasks from Adobe, link images between Adobe and Wrike, and keep track of versioning."
587,Wrike Proof,"Proofing allows you and your team to add comments directly to images, videos, .PDFs, Office files, and weblinks stored in Wrike. Use Proofing to discuss proposed files, get feedback from the rest of your team, compare files and file versions and keep track of what changes need to be made. Proofing helps you establish a structured review process. With Wrike Proof, you can assign teammates and external stakeholders as reviewers, see who has approved a file, or see who has marked any changes required."
588,Approvals,"Approvals help you establish a structured review process and automate the process of decision making. With Approvals you can assign teammates as approvers for tasks, folders and projects, and files within them. Additionally you can assign external stakeholders as file reviewers. The Approvals process is transparent: you can see who has approved a file, who has decided that changes are required and why."
589,Wrike Publish,With Wrike Publish you can manage your digital assets without having to leave Wrike. Upload and download files to and from your DAM solution and discuss and approve your assets using Wrike Proof. Wrike Publish works both with MediaValet and Bynder.
590,Reports,UseWrike Reportsto create customizable reports and gain insights about the work your team has completed. The Report Builder helps you quickly create a new report based on the data that matters to your team. Reopen saved reports at any time to have them update with the most up-to-date data.
591,And More,"The marketing solution also includes all the features available on either the Business or Enterprise solution.
Wrike for Marketers Performance
WfM Performance package is available for accounts with basic WfM package.
WfM Performance includes all the features of the basic WfM package described above along with two add-ons: Wrike Analyze and Wrike Integrate."
592,Wrike Analyze,"Wrike Analyze is a fully customizable solution that allows you to create analytical dashboards based on data from your entire Wrike account. You can use any of the pre-built analytics templates or build a custom analytics board to focus on your industry-specific metrics. Get a bird’s-eye view of your running projects, analyze your completed work, and easily share the interactive summary with stakeholders.
WfM Performance includes two 5 pre-built dashboard templates in Wrike Analyze, including Agile Velocity and Sprint Review templates, which provide information on your team’s work and capacity during sprints. A pre-built dashboard showing revenue and risk assessments is a result of seamless integration between Wrike and the company’s Salesforce stack, pulling sales-related KPIs directly into custom fields to give high-level data on the performance of every campaign and making campaign managers more effective."
593,Wrike Integrate,"Wrike Integrate is a no-coding tool created to help you seamlessly integrate your Wrike account with more than 400 apps, solutions, and platforms. With this add-on, you can streamline your work processes and automate your company workflows by eliminating manual input for recurring tasks and projects. Use Wrike’s extensive app directory to set up an integration or create a custom one.
As a part of the WfM Performance package, Wrike Integrate contains pre-built integration recipes for some of the most popular marketing systems and CRM platforms out there: Workato, Salesforce, etc. You can automate your work within Wrike with the help of recipes. This one, for example, creates a new sprint project each time the current sprint project is completed and moves all uncompleted tasks to the backlog."
594,Campaign Management Solution,"Combining Wrike Analyze and Wrike Integrate powers Wrike for Marketers Performance and offers you an easy way to manage your campaigns.
In WfM Performance you can:
Set up an email campaign with three apps simultaneously. As soon as you finish all the preparation in Wrike, the campaign is created in Salesforce and approved files are moved from Wrike task to Marketo for further use.
Synchronize data from email templates between Wrike and Marketo.
Update data both in Salesforce and Wrike simultaneously (in just a couple of clicks) and track KPIs from Salesforce in Wrike’s Table view.
Track revenue using Wrike Analyze dashboards."
595,Overview,"Wrike Enterprise accounts are ideal for teams that need advanced security options and expanded administration options. With Enterprise accounts, teams can use single sign-on, 2-step verification, Controlled Admin Permissions, and can manage password policy settings.
To compare the features available on Wrike’s Free, Professional, Business, and Enterprise accounts please visit ourpricingpage."
